Monk_Tone,R,G,B
monk_2,178,172,174
monk_2,55,39,26
monk_2,185,174,180
monk_2,168,157,161
monk_2,183,176,183
monk_2,157,122,100
monk_2,142,110,87
monk_2,210,184,157
monk_2,217,217,225
monk_2,184,138,112
monk_2,32,16,16
monk_2,214,212,217
monk_2,221,220,226
monk_2,250,189,194
monk_2,191,182,185
monk_2,175,166,167
monk_2,178,173,177
monk_2,109,74,54
monk_2,193,167,144
monk_2,218,213,217
monk_2,222,221,227
monk_2,213,148,142
monk_2,156,173,193
monk_2,163,194,223
monk_2,134,134,134
monk_2,15,6,1
monk_2,197,160,134
monk_2,88,47,29
monk_2,219,218,224
monk_2,141,89,78
monk_2,199,189,187
monk_2,198,183,176
monk_2,217,220,227
monk_2,183,130,114
monk_2,152,178,205
monk_2,160,191,222
monk_2,134,134,134
monk_2,73,64,49
monk_2,218,157,136
monk_2,221,155,131
monk_2,70,33,25
monk_2,14,6,4
monk_2,231,217,216
monk_2,213,198,195
monk_2,238,224,223
monk_2,0,2,1
monk_2,209,195,192
monk_2,197,180,173
monk_2,219,206,200
monk_2,7,5,6
monk_2,224,209,202
monk_2,211,192,185
monk_2,225,212,204
monk_2,77,58,51
monk_2,226,209,199
monk_2,208,188,179
monk_2,223,206,196
monk_2,49,26,18
monk_2,248,230,220
monk_2,233,215,205
monk_2,241,225,212
monk_2,88,91,96
monk_2,213,202,200
monk_2,205,188,181
monk_2,226,211,206
monk_2,0,1,0
monk_2,245,234,228
monk_2,230,216,207
monk_2,247,236,230
monk_2,5,0,0
monk_2,195,208,217
monk_2,183,193,194
monk_2,166,176,177
monk_2,127,102,82
monk_2,249,236,230
monk_2,234,217,207
monk_2,248,231,221
monk_2,28,18,17
monk_2,248,237,231
monk_2,233,219,210
monk_2,248,237,231
monk_2,203,142,111
monk_2,188,194,190
monk_2,179,188,185
monk_2,144,149,143
monk_2,76,54,41
monk_2,206,145,124
monk_2,212,151,123
monk_2,201,137,110
monk_2,134,76,64
monk_2,216,202,201
monk_2,200,182,178
monk_2,227,213,210
monk_2,59,29,19
monk_2,216,201,194
monk_2,201,181,174
monk_2,226,209,201
monk_2,20,9,7
monk_2,181,183,180
monk_2,178,183,177
monk_2,140,146,142
monk_2,67,49,35
monk_2,23,9,8
monk_2,217,155,130
monk_2,59,38,33
monk_2,114,61,55
monk_2,224,210,207
monk_2,212,194,190
monk_2,232,217,212
monk_2,86,66,59
monk_2,192,202,204
monk_2,191,201,202
monk_2,164,174,175
monk_2,98,75,59
monk_2,162,152,150
monk_2,217,202,197
monk_2,238,224,221
monk_2,1,1,0
monk_2,181,191,192
monk_2,185,196,202
monk_2,160,170,169
monk_2,0,1,3
monk_2,223,210,202
monk_2,217,200,192
monk_2,220,207,199
monk_2,118,90,79
monk_2,76,46,38
monk_2,207,143,118
monk_2,203,138,116
monk_2,131,72,68
monk_2,178,183,177
monk_2,185,195,196
monk_2,136,145,140
monk_2,63,47,34
monk_2,210,148,125
monk_2,216,152,125
monk_2,96,66,58
monk_2,0,0,0
monk_2,225,211,210
monk_2,212,194,192
monk_2,212,197,194
monk_2,17,12,9
monk_2,228,216,216
monk_2,217,199,197
monk_2,235,224,222
monk_2,81,43,32
monk_2,189,202,208
monk_2,192,202,203
monk_2,162,174,174
monk_2,104,63,57
monk_2,246,232,221
monk_2,238,221,213
monk_2,241,225,212
monk_2,44,61,81
monk_2,218,154,126
monk_2,226,165,137
monk_2,210,146,121
monk_2,161,94,85
monk_2,249,240,231
monk_2,230,213,205
monk_2,249,238,232
monk_2,197,138,106
monk_2,224,208,195
monk_2,237,220,212
monk_2,239,225,214
monk_2,43,46,53
monk_2,246,233,227
monk_2,230,216,207
monk_2,245,236,229
monk_2,167,144,130
monk_2,215,201,192
monk_2,198,178,171
monk_2,223,206,199
monk_2,6,2,1
monk_2,202,187,184
monk_2,219,204,201
monk_2,238,227,223
monk_2,1,0,0
monk_2,224,209,206
monk_2,207,190,183
monk_2,230,215,210
monk_2,156,95,77
monk_2,188,197,194
monk_2,178,190,188
monk_2,139,148,143
monk_2,29,25,16
monk_2,245,235,226
monk_2,230,216,207
monk_2,249,238,232
monk_2,163,112,83
monk_2,250,236,225
monk_2,236,218,204
monk_2,248,230,216
monk_2,8,3,0
monk_2,184,189,183
monk_2,194,204,206
monk_2,136,145,140
monk_2,78,60,46
monk_2,205,188,181
monk_2,194,175,168
monk_2,29,15,12
monk_2,68,48,39
monk_2,224,161,130
monk_2,236,175,146
monk_2,217,151,125
monk_2,53,23,15
monk_2,226,211,204
monk_2,211,192,185
monk_2,232,215,208
monk_2,167,106,87
monk_2,190,207,214
monk_2,184,194,195
monk_2,165,174,173
monk_2,70,43,32
monk_2,231,217,214
monk_2,221,206,203
monk_2,238,224,221
monk_2,108,84,80
monk_2,249,234,227
monk_2,237,220,212
monk_2,247,230,220
monk_2,84,91,101
monk_2,188,201,207
monk_2,180,189,188
monk_2,164,173,170
monk_2,0,0,0
monk_2,70,54,54
monk_2,203,188,185
monk_2,228,215,209
monk_2,0,0,0
monk_2,226,211,206
monk_2,214,194,187
monk_2,234,217,210
monk_2,67,49,49
monk_2,218,206,206
monk_2,217,202,199
monk_2,48,31,24
monk_2,38,30,28
monk_2,247,234,228
monk_2,229,215,206
monk_2,245,236,229
monk_2,170,147,131
monk_2,236,222,221
monk_2,225,210,207
monk_2,244,232,232
monk_2,0,1,0
monk_2,241,230,224
monk_2,224,209,204
monk_2,241,231,222
monk_2,135,84,57
monk_2,31,28,21
monk_2,187,197,196
monk_2,138,147,142
monk_2,54,35,29
monk_2,249,238,232
monk_2,235,220,213
monk_2,247,238,231
monk_2,117,96,79
monk_2,28,10,10
monk_2,206,153,135
monk_2,255,222,208
monk_2,168,106,91
monk_2,175,180,174
monk_2,189,203,204
monk_2,136,143,136
monk_2,20,13,7
monk_2,216,158,134
monk_2,226,165,137
monk_2,211,147,120
monk_2,118,71,55
monk_2,232,225,219
monk_2,216,206,197
monk_2,231,222,213
monk_2,116,75,57
monk_2,185,192,185
monk_2,183,192,187
monk_2,140,145,139
monk_2,96,74,60
monk_2,46,28,24
monk_2,248,211,195
monk_2,54,26,22
monk_2,45,27,25
monk_2,220,154,128
monk_2,212,145,118
monk_2,216,151,123
monk_2,7,0,0
monk_2,208,197,195
monk_2,207,192,187
monk_2,227,216,212
monk_2,12,11,9
monk_2,246,235,229
monk_2,232,218,209
monk_2,248,239,232
monk_2,123,91,70
monk_2,249,235,232
monk_2,236,222,213
monk_2,247,238,231
monk_2,98,69,53
monk_2,207,150,131
monk_2,217,160,141
monk_2,225,172,154
monk_2,170,118,105
monk_2,174,181,174
monk_2,165,170,164
monk_2,137,142,136
monk_2,0,0,0
monk_2,172,181,176
monk_2,168,170,167
monk_2,136,143,136
monk_2,51,32,25
monk_2,9,4,1
monk_2,232,203,195
monk_2,216,174,158
monk_2,0,0,2
monk_2,216,155,127
monk_2,233,172,143
monk_2,207,141,117
monk_2,0,0,0
monk_2,225,163,140
monk_2,220,156,131
monk_2,23,9,8
monk_2,170,113,96
monk_2,145,122,116
monk_2,225,211,202
monk_2,236,226,217
monk_2,95,79,66
monk_3,215,209,213
monk_3,221,215,217
monk_3,195,184,188
monk_3,116,73,57
monk_3,208,206,217
monk_3,187,180,188
monk_3,201,198,209
monk_3,147,84,79
monk_3,160,160,158
monk_3,168,167,163
monk_3,154,155,149
monk_3,142,101,81
monk_3,148,149,151
monk_3,130,129,127
monk_3,134,134,132
monk_3,15,15,15
monk_3,167,163,164
monk_3,97,83,74
monk_3,181,182,184
monk_3,47,33,22
monk_3,57,57,57
monk_3,58,57,55
monk_3,49,49,47
monk_3,68,68,68
monk_3,162,163,158
monk_3,173,172,167
monk_3,146,147,141
monk_3,115,87,65
monk_3,174,173,169
monk_3,178,177,173
monk_3,169,166,161
monk_3,166,115,86
monk_3,57,57,55
monk_3,55,54,52
monk_3,50,49,47
monk_3,52,30,19
monk_3,164,165,170
monk_3,139,140,142
monk_3,149,149,147
monk_3,23,13,11
monk_3,198,192,204
monk_3,202,196,208
monk_3,171,165,177
monk_3,213,167,154
monk_3,194,188,200
monk_3,205,199,211
monk_3,169,163,175
monk_3,214,166,154
monk_3,56,55,53
monk_3,57,56,54
monk_3,49,48,46
monk_3,8,7,5
monk_3,199,190,191
monk_3,210,200,198
monk_3,193,185,183
monk_3,84,66,52
monk_3,139,139,141
monk_3,121,119,120
monk_3,124,123,119
monk_3,21,16,13
monk_3,190,155,133
monk_3,215,193,182
monk_3,148,147,143
monk_3,56,36,27
monk_3,200,194,206
monk_3,206,200,212
monk_3,175,169,181
monk_3,237,195,173
monk_3,117,117,115
monk_3,122,122,120
monk_3,99,100,95
monk_3,215,214,219
monk_3,59,59,59
monk_3,59,58,56
monk_3,51,51,49
monk_3,38,30,27
monk_3,213,207,209
monk_3,222,216,218
monk_3,197,188,191
monk_3,197,154,137
monk_3,219,213,217
monk_3,214,208,210
monk_3,210,201,206
monk_3,221,183,172
monk_3,168,151,141
monk_3,126,126,126
monk_3,140,141,136
monk_3,38,27,25
monk_3,56,55,53
monk_3,55,54,52
monk_3,45,45,43
monk_3,143,150,156
monk_3,183,185,180
monk_3,193,194,189
monk_3,165,166,161
monk_3,119,93,78
monk_3,255,244,199
monk_3,235,202,185
monk_3,188,182,182
monk_3,184,164,166
monk_3,207,197,205
monk_3,214,205,210
monk_3,191,180,186
monk_3,15,11,10
monk_3,154,150,151
monk_3,94,77,69
monk_3,172,172,174
monk_3,57,50,44
monk_3,165,156,161
monk_3,110,92,82
monk_3,177,175,176
monk_3,18,18,10
monk_3,201,195,209
monk_3,203,197,209
monk_3,173,167,179
monk_3,108,44,42
monk_3,198,192,192
monk_3,211,203,200
monk_3,196,187,188
monk_3,250,240,239
monk_3,195,191,188
monk_3,212,204,201
monk_3,195,189,189
monk_3,177,147,155
monk_3,220,219,227
monk_3,187,180,187
monk_3,207,201,211
monk_3,175,129,113
monk_3,230,228,239
monk_3,181,176,183
monk_3,201,199,210
monk_3,70,47,41
monk_3,176,176,174
monk_3,150,149,145
monk_3,153,150,145
monk_3,154,112,87
monk_3,177,179,178
monk_3,170,169,165
monk_3,151,153,148
monk_3,172,132,120
monk_3,196,188,201
monk_3,204,198,210
monk_3,171,163,176
monk_3,163,126,107
monk_3,225,218,226
monk_3,190,179,185
monk_3,206,199,207
monk_3,169,135,123
monk_3,219,213,215
monk_3,210,206,207
monk_3,203,194,197
monk_3,216,207,200
monk_3,217,213,214
monk_3,213,209,210
monk_3,199,190,193
monk_3,68,52,52
monk_3,222,218,219
monk_3,223,219,220
monk_3,210,204,206
monk_3,209,168,148
monk_3,139,141,140
monk_3,122,121,119
monk_3,126,128,125
monk_3,21,22,17
monk_3,215,205,213
monk_3,216,210,214
monk_3,202,192,200
monk_3,203,157,131
monk_3,145,143,144
monk_3,87,70,63
monk_3,167,168,170
monk_3,18,13,10
monk_3,108,104,105
monk_3,60,50,41
monk_3,122,123,125
monk_3,37,26,20
monk_3,217,213,214
monk_3,209,205,206
monk_3,196,190,192
monk_3,120,78,54
monk_3,216,216,226
monk_3,190,185,192
monk_3,204,202,215
monk_3,38,24,24
monk_3,161,159,160
monk_3,91,77,68
monk_3,181,181,181
monk_3,102,79,61
monk_3,194,190,204
monk_3,202,198,212
monk_3,169,163,175
monk_3,72,38,28
monk_3,207,192,187
monk_3,212,204,202
monk_3,197,187,186
monk_3,155,134,139
monk_3,148,148,148
monk_3,81,66,61
monk_3,166,168,167
monk_3,96,70,53
monk_3,211,207,206
monk_3,214,208,208
monk_3,193,185,183
monk_3,142,85,78
monk_3,182,182,180
monk_3,173,172,170
monk_3,161,158,153
monk_3,56,26,24
monk_3,170,189,206
monk_3,188,214,237
monk_3,166,170,179
monk_3,23,4,0
monk_3,154,176,199
monk_3,166,193,222
monk_3,146,154,165
monk_3,101,56,50
monk_3,169,187,199
monk_3,198,225,246
monk_3,165,170,173
monk_3,148,100,90
monk_3,239,232,239
monk_3,225,212,219
monk_3,229,219,227
monk_3,142,75,67
monk_3,207,177,175
monk_3,169,140,124
monk_3,127,103,93
monk_3,156,109,89
monk_3,153,176,194
monk_3,168,198,226
monk_3,140,149,156
monk_3,44,15,9
monk_3,174,164,155
monk_3,207,223,238
monk_3,146,137,128
monk_3,114,66,44
monk_3,242,235,242
monk_3,230,219,227
monk_3,228,216,226
monk_3,240,204,182
monk_3,149,171,194
monk_3,175,205,231
monk_3,144,153,162
monk_3,43,29,26
monk_3,171,202,223
monk_3,176,210,238
monk_3,159,169,178
monk_3,114,66,54
monk_3,168,185,201
monk_3,193,219,242
monk_3,165,170,174
monk_3,138,76,65
monk_3,172,162,153
monk_3,209,223,236
monk_3,142,134,123
monk_3,83,55,41
monk_3,111,105,107
monk_3,246,206,145
monk_3,219,179,127
monk_3,44,15,9
monk_3,242,232,240
monk_3,230,219,227
monk_3,230,218,228
monk_3,229,178,159
monk_3,200,188,192
monk_3,186,171,178
monk_3,196,183,192
monk_3,203,155,133
monk_3,170,188,208
monk_3,185,213,237
monk_3,166,173,181
monk_3,140,86,76
monk_3,198,187,195
monk_3,185,170,177
monk_3,193,181,191
monk_3,138,92,76
monk_3,154,176,199
monk_3,166,193,220
monk_3,146,155,164
monk_3,72,31,25
monk_3,192,198,212
monk_3,168,142,127
monk_3,99,84,77
monk_3,83,63,54
monk_3,199,186,195
monk_3,186,171,178
monk_3,194,183,191
monk_3,129,83,67
monk_3,151,177,200
monk_3,161,190,220
monk_3,141,150,159
monk_3,100,62,53
monk_3,242,233,238
monk_3,225,212,219
monk_3,229,218,226
monk_3,193,142,115
monk_3,170,161,154
monk_3,195,204,213
monk_3,143,134,125
monk_3,57,28,20
monk_3,152,174,195
monk_3,176,207,235
monk_3,146,155,164
monk_3,37,25,25
monk_3,243,236,243
monk_3,227,216,224
monk_3,230,223,231
monk_3,186,109,89
monk_3,174,164,155
monk_3,210,222,234
monk_3,144,136,125
monk_3,110,61,47
monk_3,205,194,202
monk_3,189,176,185
monk_3,198,188,199
monk_3,38,24,24
monk_3,154,173,190
monk_3,167,197,223
monk_3,147,155,166
monk_3,91,50,44
monk_3,189,156,137
monk_3,167,138,124
monk_3,29,34,30
monk_3,85,67,63
monk_3,154,176,199
monk_3,171,201,227
monk_3,147,156,165
monk_3,58,26,15
monk_3,171,161,152
monk_3,207,221,234
monk_3,146,137,128
monk_3,89,51,42
monk_3,167,186,203
monk_3,194,222,246
monk_3,163,168,174
monk_3,146,98,86
monk_3,155,177,200
monk_3,158,185,212
monk_3,147,154,164
monk_3,20,11,6
monk_3,194,163,145
monk_3,179,150,136
monk_3,37,42,36
monk_3,113,84,76
monk_3,200,189,197
monk_3,186,173,182
monk_3,197,185,195
monk_3,159,117,101
monk_3,180,182,197
monk_3,168,157,153
monk_3,39,44,38
monk_3,82,42,34
monk_3,154,176,199
monk_3,165,192,219
monk_3,143,150,158
monk_3,78,32,32
monk_3,191,158,141
monk_3,194,157,141
monk_3,48,49,44
monk_3,124,87,78
monk_4,123,128,134
monk_4,116,124,77
monk_4,62,80,58
monk_4,28,27,33
monk_4,49,44,48
monk_4,111,122,79
monk_4,57,58,42
monk_4,117,77,67
monk_4,78,54,50
monk_4,187,135,122
monk_4,177,131,118
monk_4,74,30,31
monk_4,28,23,29
monk_4,215,221,235
monk_4,233,240,250
monk_4,71,62,67
monk_4,197,148,134
monk_4,196,144,131
monk_4,202,154,142
monk_4,106,60,47
monk_4,186,136,125
monk_4,188,136,123
monk_4,199,151,141
monk_4,19,7,7
monk_4,36,27,28
monk_4,187,135,122
monk_4,186,138,126
monk_4,33,15,15
monk_4,118,116,129
monk_4,210,212,224
monk_4,232,235,244
monk_4,16,11,8
monk_4,34,38,47
monk_4,173,172,186
monk_4,206,210,222
monk_4,45,22,14
monk_4,44,47,52
monk_4,168,180,202
monk_4,148,156,159
monk_4,18,8,7
monk_4,57,46,50
monk_4,221,219,230
monk_4,238,239,244
monk_4,104,67,58
monk_4,18,18,20
monk_4,180,182,195
monk_4,107,107,117
monk_4,0,0,0
monk_4,64,64,72
monk_4,175,183,134
monk_4,89,107,93
monk_4,11,11,19
monk_4,14,10,11
monk_4,144,164,189
monk_4,153,164,170
monk_4,54,46,33
monk_4,44,46,45
monk_4,101,108,66
monk_4,40,54,41
monk_4,167,148,141
monk_4,69,52,60
monk_4,184,186,201
monk_4,177,179,192
monk_4,14,10,11
monk_4,77,82,85
monk_4,83,87,62
monk_4,147,171,149
monk_4,151,105,90
monk_4,122,103,125
monk_4,184,186,201
monk_4,24,20,21
monk_4,149,94,87
monk_4,144,130,143
monk_4,189,195,211
monk_4,214,216,229
monk_4,28,18,17
monk_4,16,10,14
monk_4,218,218,230
monk_4,142,141,149
monk_4,61,43,31
monk_4,7,3,4
monk_4,161,181,206
monk_4,157,166,173
monk_4,34,30,19
monk_4,178,178,190
monk_4,209,211,224
monk_4,234,238,247
monk_4,26,22,23
monk_4,4,0,0
monk_4,185,136,122
monk_4,181,134,124
monk_4,57,28,22
monk_4,175,187,199
monk_4,166,186,210
monk_4,156,164,166
monk_4,57,50,40
monk_4,62,53,54
monk_4,221,221,231
monk_4,238,238,246
monk_4,84,48,32
monk_4,0,0,2
monk_4,186,134,121
monk_4,0,0,0
monk_4,0,0,0
monk_4,0,1,0
monk_4,188,136,122
monk_4,182,134,122
monk_4,0,0,2
monk_4,16,15,23
monk_4,183,186,203
monk_4,77,55,57
monk_4,9,8,6
monk_4,33,37,49
monk_4,151,154,173
monk_4,166,171,177
monk_4,40,40,40
monk_4,149,132,142
monk_4,185,187,199
monk_4,208,208,218
monk_4,70,52,50
monk_4,179,191,203
monk_4,173,191,213
monk_4,158,167,172
monk_4,46,26,19
monk_4,55,49,53
monk_4,39,33,37
monk_4,236,239,246
monk_4,118,92,93
monk_4,152,147,153
monk_4,207,213,227
monk_4,230,236,248
monk_4,80,71,76
monk_4,31,30,35
monk_4,188,186,197
monk_4,1,0,0
monk_4,3,1,2
monk_4,26,17,22
monk_4,181,184,201
monk_4,219,219,231
monk_4,0,1,0
monk_4,159,137,149
monk_4,181,184,199
monk_4,172,176,188
monk_4,1,0,0
monk_4,174,186,198
monk_4,168,186,208
monk_4,158,167,172
monk_4,61,55,39
monk_4,180,132,132
monk_4,204,207,222
monk_4,219,221,233
monk_4,120,81,82
monk_4,148,107,101
monk_4,189,135,123
monk_4,81,50,45
monk_4,0,0,0
monk_4,39,45,43
monk_4,18,17,23
monk_4,32,48,38
monk_4,5,3,6
monk_4,155,133,154
monk_4,183,185,200
monk_4,8,4,5
monk_4,97,53,42
monk_4,181,133,121
monk_4,185,135,124
monk_4,186,140,127
monk_4,35,10,16
monk_4,193,141,130
monk_4,188,136,122
monk_4,191,145,132
monk_4,64,36,33
monk_4,15,13,24
monk_4,223,221,232
monk_4,226,225,231
monk_4,93,50,34
monk_4,88,87,95
monk_4,88,91,62
monk_4,45,61,50
monk_4,138,136,147
monk_4,67,75,88
monk_4,50,48,51
monk_4,98,117,95
monk_4,8,7,5
monk_4,37,31,31
monk_4,193,195,210
monk_4,2,0,1
monk_4,82,68,67
monk_4,36,43,59
monk_4,136,138,151
monk_4,231,237,249
monk_4,25,10,5
monk_4,54,55,60
monk_4,98,100,87
monk_4,87,107,95
monk_4,60,37,29
monk_4,11,11,21
monk_4,175,152,168
monk_4,207,206,214
monk_4,42,41,46
monk_4,55,55,55
monk_4,108,114,80
monk_4,68,86,74
monk_4,127,123,124
monk_4,182,136,120
monk_4,181,127,115
monk_4,186,136,125
monk_4,73,34,35
monk_4,133,143,152
monk_4,161,181,206
monk_4,152,160,163
monk_4,10,6,3
monk_4,77,76,82
monk_4,187,202,147
monk_4,102,116,101
monk_4,111,71,63
monk_4,18,10,8
monk_4,186,189,206
monk_4,14,10,9
monk_4,89,69,70
monk_4,11,6,10
monk_4,185,136,122
monk_4,189,141,127
monk_4,104,55,48
monk_4,189,140,125
monk_4,188,136,123
monk_4,187,140,130
monk_4,1,0,0
monk_4,116,126,136
monk_4,165,186,213
monk_4,152,162,164
monk_4,24,11,2
monk_4,58,57,53
monk_4,95,99,64
monk_4,93,111,111
monk_4,152,129,139
monk_4,95,108,117
monk_4,38,38,38
monk_4,66,80,55
monk_4,151,114,108
monk_4,217,219,231
monk_4,213,215,227
monk_4,230,230,238
monk_4,135,75,67
monk_4,34,31,40
monk_4,217,217,227
monk_4,236,239,246
monk_4,14,4,2
monk_4,186,182,219
monk_4,184,189,208
monk_4,28,22,24
monk_4,60,36,32
monk_4,29,35,49
monk_4,195,198,215
monk_4,9,9,9
monk_4,0,0,0
monk_4,85,94,101
monk_4,166,186,210
monk_4,156,165,170
monk_4,40,34,18
monk_4,82,87,91
monk_4,139,137,112
monk_4,37,47,36
monk_4,33,25,23
monk_4,125,129,138
monk_4,121,126,86
monk_4,44,65,46
monk_4,123,120,127
monk_4,65,77,91
monk_4,76,77,81
monk_4,104,131,116
monk_4,120,80,70
monk_4,233,228,235
monk_4,221,218,225
monk_4,238,237,242
monk_4,183,175,198
monk_4,87,94,104
monk_4,28,29,24
monk_4,56,80,54
monk_4,134,127,134
monk_4,69,70,75
monk_4,111,112,94
monk_4,57,74,55
monk_4,55,41,40
monk_4,121,133,159
monk_4,60,63,34
monk_4,83,106,86
monk_4,108,61,51
monk_4,33,30,37
monk_4,214,214,226
monk_4,242,245,252
monk_4,6,4,5
monk_4,191,141,132
monk_4,183,131,118
monk_4,189,141,129
monk_4,86,37,43
monk_4,32,22,23
monk_4,183,186,203
monk_4,136,131,137
monk_4,1,0,0
monk_4,172,186,195
monk_4,166,185,202
monk_4,161,169,171
monk_4,1,1,1
monk_4,108,69,64
monk_4,159,111,97
monk_4,3,0,0
monk_4,4,0,0
monk_4,34,19,14
monk_4,186,137,123
monk_4,183,135,123
monk_4,1,0,0
monk_4,120,118,129
monk_4,221,221,233
monk_4,245,244,250
monk_4,57,32,25
monk_4,61,30,25
monk_4,188,136,123
monk_4,0,0,0
monk_4,0,0,2
monk_4,6,1,5
monk_4,176,179,196
monk_4,186,189,204
monk_4,2,2,2
monk_4,24,27,42
monk_4,167,170,189
monk_4,117,117,127
monk_4,30,30,30
monk_4,75,82,90
monk_4,163,183,210
monk_4,147,156,161
monk_4,43,37,25
monk_4,69,72,77
monk_4,26,27,31
monk_4,30,42,38
monk_4,113,73,61
monk_4,193,146,130
monk_4,189,138,121
monk_4,57,26,23
monk_4,0,0,0
monk_4,11,5,5
monk_4,175,178,193
monk_4,26,20,22
monk_4,73,43,32
monk_4,166,168,181
monk_4,219,219,231
monk_4,227,230,239
monk_4,40,25,20
monk_4,214,212,223
monk_4,211,209,220
monk_4,239,242,249
monk_4,0,0,0
monk_4,64,48,48
monk_4,88,83,89
monk_4,252,252,255
monk_4,111,105,115
monk_4,55,54,50
monk_4,79,81,59
monk_4,88,104,93
monk_4,151,144,160
monk_4,19,19,27
monk_4,186,181,187
monk_4,178,129,115
monk_4,21,21,23
monk_4,53,56,49
monk_4,108,110,88
monk_4,39,49,40
monk_4,8,9,13
monk_4,3,2,7
monk_4,167,118,104
monk_4,4,4,4
monk_4,0,0,0
monk_4,28,31,36
monk_4,37,39,38
monk_4,41,55,38
monk_4,19,16,23
monk_4,65,69,94
monk_4,218,218,228
monk_4,248,247,253
monk_4,151,96,66
monk_4,6,0,0
monk_4,185,133,119
monk_4,163,119,106
monk_4,0,1,0
monk_4,33,34,29
monk_4,85,89,64
monk_4,57,67,43
monk_4,156,144,148
monk_4,223,220,231
monk_4,211,207,221
monk_4,163,111,90
monk_4,32,20,20
monk_4,157,176,183
monk_4,171,189,199
monk_4,140,138,125
monk_4,10,8,9
monk_4,190,193,208
monk_4,178,180,193
monk_4,6,4,5
monk_4,32,26,28
monk_4,154,167,173
monk_4,166,183,191
monk_4,143,141,129
monk_4,9,5,6
monk_4,209,208,222
monk_4,188,186,200
monk_4,197,196,210
monk_4,218,167,140
monk_4,182,198,213
monk_4,185,199,210
monk_4,160,162,161
monk_4,166,188,209
monk_4,13,11,14
monk_4,153,174,191
monk_4,138,138,128
monk_4,41,21,12
monk_4,183,207,233
monk_4,122,122,120
monk_4,158,179,198
monk_4,0,0,0
monk_4,139,142,111
monk_4,37,36,42
monk_4,83,101,77
monk_4,77,72,78
monk_4,104,84,85
monk_4,113,75,66
monk_4,152,177,207
monk_4,0,0,0
monk_4,189,183,193
monk_4,172,164,175
monk_4,170,167,178
monk_4,215,168,152
monk_4,158,184,201
monk_4,161,193,218
monk_4,146,151,147
monk_4,77,45,32
monk_4,83,79,70
monk_4,148,126,115
monk_4,133,146,90
monk_4,9,0,0
monk_4,120,117,110
monk_4,117,116,114
monk_4,147,174,203
monk_4,95,53,41
monk_4,195,193,206
monk_4,187,181,193
monk_4,177,175,189
monk_4,27,23,22
monk_4,182,179,190
monk_4,196,195,209
monk_4,193,190,209
monk_4,13,4,5
monk_4,103,106,115
monk_4,187,190,205
monk_4,1,0,0
monk_4,15,10,14
monk_4,128,148,113
monk_4,45,44,49
monk_4,83,99,72
monk_4,22,18,17
monk_4,158,176,188
monk_4,124,121,116
monk_4,167,189,213
monk_4,27,27,27
monk_4,223,233,245
monk_4,202,208,224
monk_4,0,0,0
monk_4,218,175,158
monk_4,192,186,198
monk_4,178,170,181
monk_4,176,170,182
monk_4,167,122,101
monk_4,8,8,10
monk_4,148,173,193
monk_4,143,141,128
monk_4,55,28,21
monk_4,77,69,66
monk_4,158,136,125
monk_4,137,153,104
monk_4,50,35,30
monk_4,188,187,201
monk_4,179,177,191
monk_4,182,181,195
monk_4,24,14,13
monk_4,120,122,119
monk_4,128,124,121
monk_4,0,0,0
monk_4,82,45,29
monk_4,186,189,204
monk_4,172,174,187
monk_4,7,3,4
monk_4,83,77,81
monk_4,176,156,149
monk_4,177,153,143
monk_4,137,152,95
monk_4,12,13,18
monk_4,187,186,200
monk_4,181,179,192
monk_4,11,9,10
monk_4,157,154,161
monk_4,162,185,201
monk_4,163,195,220
monk_4,146,148,145
monk_4,0,0,0
monk_4,14,8,8
monk_4,155,187,212
monk_4,142,145,138
monk_4,0,1,0
monk_4,153,175,199
monk_4,125,121,118
monk_4,155,179,205
monk_4,62,29,24
monk_4,213,170,151
monk_4,177,174,185
monk_4,175,173,184
monk_4,21,17,16
monk_4,186,185,199
monk_4,169,167,181
monk_4,177,176,192
monk_4,185,191,207
monk_4,160,187,206
monk_4,161,193,218
monk_4,144,146,141
monk_4,9,4,1
monk_4,134,149,120
monk_4,61,56,60
monk_4,106,123,89
monk_4,6,1,7
monk_4,173,167,179
monk_4,19,16,23
monk_4,193,190,209
monk_4,117,61,48
monk_4,177,194,202
monk_4,190,209,224
monk_4,171,173,170
monk_4,101,58,49
monk_4,201,201,211
monk_4,195,192,203
monk_4,186,138,124
monk_4,80,75,79
monk_4,185,187,182
monk_4,195,217,231
monk_4,155,147,136
monk_4,0,0,0
monk_4,226,228,241
monk_4,210,207,224
monk_4,186,189,208
monk_4,177,124,108
monk_4,101,75,60
monk_4,169,201,222
monk_4,135,141,137
monk_4,51,33,19
monk_4,71,70,65
monk_4,169,145,135
monk_4,152,175,119
monk_4,3,3,5
monk_4,181,194,200
monk_4,180,202,215
monk_4,0,0,2
monk_4,0,0,0
monk_4,209,212,227
monk_4,205,206,224
monk_4,27,18,21
monk_4,225,184,164
monk_4,89,80,75
monk_4,171,149,138
monk_4,155,172,118
monk_4,21,17,18
monk_4,192,169,155
monk_4,203,167,151
monk_4,151,166,101
monk_4,13,11,14
monk_4,117,127,126
monk_4,158,176,190
monk_4,139,136,129
monk_4,7,5,8
monk_4,180,206,223
monk_4,179,210,231
monk_4,145,147,142
monk_4,0,0,0
monk_4,206,200,212
monk_4,190,182,193
monk_4,198,192,206
monk_4,28,22,24
monk_4,41,33,30
